config_compute,1,2,3,4,5,6,7,8,9,11,12,13,14,17
databricks_DBX_M,11.31,3.31,5.55,3.33,3.13,8.05,2.21,4.9,3.14,5.77,3.19,2.82,3.84,8.54
databricks_DBX_S,13.35,4.9,8.02,4.44,3.99,9.93,3.34,7.35,4.09,9.29,6.94,2.29,4.49,10.95
snowflake_SF_M_Gen1,7.6,5.6,5.2,9.7,3.6,11.0,11.0,15.0,5.8,9.0,5.9,3.2,9.7,7.0
snowflake_SF_M_Gen2,5.5,3.8,3.7,7.1,2.4,8.0,7.0,11.0,4.1,5.7,3.4,2.0,5.9,3.6
snowflake_SF_S_Gen1,5.5,3.8,3.7,7.1,2.4,8.0,7.0,11.0,4.1,5.7,3.4,2.0,5.9,3.6
snowflake_SF_S_Gen2,9.0,6.6,6.5,13.0,4.9,14.0,13.0,20.0,7.0,11.0,6.7,3.5,11.0,7.0
